"count","url_host_registered_domain"
"352","nagorikkhobor.com"
"351","hathazarinews.com"
"351","narayanganjpost.com"
"351","nilphamaribarta.com.bd"
"351","jagobulletin.com"
"350","deshdorshon.com"
"350","dhormockery.org"
"349","dailynarayanganjerdak.com"
"349","sylhetdiv.gov.bd"
"348","google.cn"
"348","dailymatrichaya.com"
"348","bnboi.com"
"347","lekhapora24.net"
"347","newsg24.com"
"347","banglachotikahinii.com"
"346","edutimes.net"
"346","pib71.tv"
"345","csb24.com"
"345","sr76beerworks.com"
"345","anandabhuban.com"
"345","janotarkantho24.com"
"345","4numberplatform.com"
"344","dailyjagojanata.com"
"343","poygam24.com"
"342","amadersomoy.com"
"342","dainiktarget.com"
"342","theballpen.com"
"341","news21bangla.tv"
"340","alorkhabor.com"
"339","jamalpur.gov.bd"
"339","ucchakontha.com"
"339","ekushejournal.com"
"337","khulnarkhobor.com"
"336","dhakatoday24.com"
"336","newsalltime24.com"
"336","hellobcs.com"
"335","alokitobarta71.com"
"334","pib.gov.in"
"334","dhakamail.com"
"334","pothiknews.com"
"334","khulnarsomoy.com"
"334","amodbd.com"
"333","shampratikdeshkal.com"
"333","sunnarayanganj24.com"
"333","matrijagattv.com"
"331","kushtia.gov.bd"
"330","bdtodays.com"
"329","0porn.org"
"328","shirshobindu.com"
"326","ctgpost.news"
"326","hakkatha.com"
"326","tritiyobangla.com"
"324","dailybanglarkantha.com"
"324","a1news24.com"
"324","janapadbarta.com"
"324","shiprocket.in"
"323","shomoynews.net"
"323","fenipaurashava.gov.bd"
"323","muktibarta.net"
"322","gopalpurbarta24.com"
"321","bijoybangla.news"
"321","digontabarta.com"
"321","dainikmanobadhikarprotidin.com"
"320","sarabanglahh.com"
"319","madaripur.gov.bd"
"318","wikimedia.org"
"317","dainikpurbokone.net"
"315","sherakantha.com"
"314","dainikalorjagat.com"
"312","bangla24voice.com"
"311","popularbdnews.com"
"309","bdsongsar.com"
"309","somoysylhet.com"
"309","samakalinkagoj.com"
"308","muslimmedia.info"
"308","orans-sanitary.com"
"308","popularbdnews.net"
"307","alorbangladesh.com"
"307","peaceinislam.com"
"307","globaltvbd.com"
"307","cumillabulletin.com"
"304","formalnews24.com"
"303","dainikbarishal24.com"
"303","alokitohabiganj.com"
"303","pressreport24.com"
"303","timesbangla24.com"
"302","allmedia365.com"
"301","jf-parede.pt"
"300","dailysylhet.com"
"300","dailypunorutthan.com"
"300","rajshahirsomoy.com"
"299","jamaatdhakacitysouth.org"
"299","kolkatasaradin.com"
"299","newstime.net"
"298","bdlibrary.net"
"298","cniasia.news"
"298","wam.ae"
"296","vaidam.com"
"295","bholarkhobor.com"
"294","shariatpurportal.info"
"293","mtnews24.com"
"293","anushondhannews.com"
"292","ordinaryit.com"
"292","daynikdesherkotha.com"
"291","daktarbangladesh.com"
"290","realtimes71.net"
"290","giridarpon.com"
"290","joybanglanewsbd.com"
"289","milansagar.com"
"289","beanibazarbarta24.com"
"289","bigganblog.org"
"288","newsbangladesh.com"
"288","thegeekparent.com"
"288","somoyjournal.com"
"288","jugantorbarta.com"
"287","shikhabd.com"
"287","rajbaribd.com"
"287","agwebrunner.com"
"286","banglakhobor.online"
"285","arafatnews.com"
"285","latuexpress.com"
"285","betterwork.org"
"285","hancuikangherb.com"
"285","amarbarta.com"
"285","trenadi.com"
"284","notunkotha.news"
"284","khanjahanali24.com"
"283","poptin.com"
"283","71sangbad24.com"
"282","shomoyerkagoj.com"
"282","thereport.live"
"281","jagoroniya.com"
"281","shirisherdalpala.net"
"281","mymensingherkhobor.com"
"280","learn-bd.com"
"280","cumillarpaper.com"
"280","dhakabarta.net"
"279","agrasor.com"
"279","jugerchinta.news"
"279","chandona24.com"
"278","ichchhamoti.in"
"277","shikshabarta.com"
"277","iranmirrorbd.com"
"277","sylhetertimes.com"
"277","carehospitals.com"
"276","prithibisangbad.com"
"276","khaskhoborbd.com"
"274","jagokantho.com"
"274","bengalipdfbooks.info"
"273","dailyearthbd.com"
"273","janatarchokh.tv"
"273","dainiktathya.com"
"273","banglatelegram.net"
"273","bangladeshkantha.com"
"273","sokalnarayanganj.com"
"272","nishachor.com"
"271","proshongonews24.com"
"271","cholojaai.com"
"271","notunprithivi.com"
"270","dreamsylhet24.com"
"268","banglapedia.org"
"268","dailystockbd.com"
"268","azembassy.at"
"268","amarporebesh.com"
"268","ctgsangbad24.com"
"268","alordesh24.com"
"266","tangailpratidin.com"
"265","lalmonirhatonlinenews.com"
"264","deshdeshantor24.com"
"264","dailyporibar.com"
"263","pornq.org"
"263","latestly.com"
"263","dainikkishoreganj.com"
"262","hezbuttawheed.org"
"262","satkhirachitra.com"
"262","dailybibartan.com"
"262","dailyjagaran.com"
"261","kaliokalam.com"
"261","kinghelm.net"
"261","qualitycando.com"
"260","comoeutrabalho.com"
"260","banglarkonthonews.com"
"260","moheshkhalirsobkhabor.com"
"260","priyo.com"
"259","desiblitz.com"
"258","maneki.info.bd"
"258","netrokona.gov.bd"
"258","ngosrajshahi.com"
"257","dailysonargaon.com"
"257","godfootsteps.org"
"256","banijjoprotidin.com"
"255","daktarprotidin.com"
"255","dailyalokito-chapainawabganj.com"
"255","sahityapata24.com"
"255","amarbarta.com.bd"
"254","drkhalilurrahman.com"
"254","binodon69.com"
"254","dailybexpress.com"
"254","samaysangbad.com"
"253","bagerhat.gov.bd"
"253","desh24.news"
"253","digitalbrahmanbaria.com"
"253","sscclub94bd.com"
"252","chattalatv.com"
"251","dainikbayanno.com"
"250","ratdin.news"
"250","quranehakeem.com"
"250","banglapressbd.com"
"248","dinajpurbarta24.com"
"248","cinemawalanews24.com"
"248","ajkerprottasha.com"
"247","nogorkhobor.com"
"247","francedorpan.com"
"247","sportshour24.com"
"246","priodesh.com"
"246","citynewsdhaka.com"
"245","weeklysherpur24.net"
"244","voiceofnewjersey.com"
"244","dokhinerkhobor.com"
"244","dmpnews.org"
